# Task: bending2,,,,,,
# Frequency (Hz): 20,,,,,,
# Clock (millisecond): 250,,,,,,
# Duration (seconds): 120,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,23.75,0.43,24,0,24.67,0.47
250,22.67,0.94,24,0,24.67,0.94
500,21.33,0.47,24,0,24.75,0.83
750,21,0,24,0,25.25,1.09
1000,23,0.71,23.75,0.43,24.75,0.83
1250,24.33,0.47,24,0,24.25,0.43
1500,23.75,1.09,24.25,0.43,24.75,0.83
1750,21.75,0.43,24,0,24.75,0.43
2000,20.25,0.43,24.5,0.5,25.75,0.83
2250,19,0.71,24.25,0.43,25.75,1.3
2500,17.5,0.87,24.25,0.43,25,1
2750,15.75,1.3,24.75,0.43,25,1
3000,14,1.22,24.25,0.43,25,0.71
3250,15,0.71,24.75,0.83,25.75,0.83
3500,15,4.06,24,0.71,26.25,0.83
3750,20.75,1.64,22,1.41,26.67,0.47
4000,19,2.35,21.5,1.12,26.25,0.83
4250,17.25,4.92,23.8,0.4,26.4,0.8
4500,18.5,4.82,23,0.71,26.25,1.3
4750,17.5,1.8,22.25,0.83,26,1.22
5000,14,1.87,23.67,0.47,25,0.82
5250,19,1.63,21,0,25.33,0.47
5500,21,0.71,20.75,0.43,24.75,0.83
5750,21,1.22,21,0,25,0.71
6000,21.33,0.47,22.33,0.94,25.25,0.43
6250,22,0.71,21,0.71,26.5,0.5
6500,23.5,0.5,20.75,0.43,26.5,0.5
6750,24.75,0.43,21.75,0.83,26.25,0.83
7000,22.25,1.79,22,0,26.5,0.87
7250,20.5,0.5,21.5,0.5,25.25,0.83
7500,19,1,22.67,0.47,24.67,0.47
7750,19.75,0.43,21.25,0.43,25.75,0.43
8000,20.25,0.83,20.75,1.09,24.25,0.43
8250,21,0,18,1.73,24,0
8500,21.25,0.83,20.5,0.87,26.25,1.3
8750,21.25,0.43,18.5,0.5,26.75,0.43
9000,21.67,0.94,19.5,0.5,27,0
9250,22,0.82,21.33,0.47,27,0
9500,22,0.82,20.67,0.47,27,0
9750,20.75,1.09,20.75,1.09,27.25,0.43
10000,21,0.71,18.75,1.48,27.25,0.43
10250,22.25,0.83,17.75,0.83,27.5,0.5
10500,22.25,0.83,18.5,1.12,27,0
10750,23,0.82,18.33,1.25,27.5,0.5
11000,22.75,0.83,21.75,0.83,27.25,0.43
11250,23.25,0.83,21.25,0.43,28,0
11500,22.75,0.83,21,0,27.67,0.47
11750,24,0,21.33,0.47,27.33,0.47
12000,24,0,23,0,27.5,0.5
12250,24,0,23,0,27,0
12500,24,0,23,0,27,0
12750,24,0,23,0,27,0
13000,24,0,22.5,0.5,27,0
13250,24,0,22.75,0.43,27,0
13500,24,0,22.33,0.47,27,0
13750,24,0,22.25,0.43,27.25,0.43
14000,24,0,22.25,0.43,27.5,0.5
14250,24,0,22.25,0.43,27.5,0.5
14500,24,0,23,0,27.5,0.5
14750,24,0,22,0,27,0
15000,23.5,0.5,21.67,0.47,27,0
15250,20.75,2.95,21.75,0.43,27,0
15500,13.75,2.59,21.5,0.5,18.25,1.79
15750,20,1.22,20.25,0.43,21,0
16000,21.67,0.47,19.5,0.5,23,0.82
16250,20.75,1.3,21,0,24,0
16500,21,2.55,19.25,1.92,24,0
16750,19,1.58,20.5,0.87,24.5,0.87
17000,20.75,0.43,11,4.53,24.25,0.43
17250,23.75,0.43,12.75,0.83,24.75,0.83
17500,25.33,1.25,17.67,4.11,26.25,0.83
17750,25.5,1.12,17.25,4.82,26.25,0.83
18000,26.25,0.43,19.5,1.66,26.25,0.83
18250,26.75,0.43,19.25,1.09,26.75,1.09
18500,26,1.41,16.67,0.47,26.75,0.43
18750,24,0,12.75,2.59,26.75,0.43
19000,23.75,0.43,9.5,0.5,26.75,0.43
19250,22.25,1.09,11.33,0.94,27,0
19500,22.33,0.47,12,1,27,0
19750,23,0,10,1.22,27,0
20000,23.5,0.5,5.67,1.7,27,0
20250,23.25,0.43,8.25,2.86,27,0
20500,23.75,0.43,14.5,0.87,27,0
20750,24,0,15.25,0.43,27,0
21000,24,0,14.5,0.5,27,0
21250,24,0,15,0,27,0
21500,24,0,14.75,0.43,27,0
21750,24.33,0.47,13.67,0.47,27.75,0.43
22000,24.5,0.87,16.5,1.66,27.25,0.43
22250,24.25,0.43,16.25,0.83,27.5,0.5
22500,24.75,0.43,16.5,0.5,28,0
22750,24.75,0.43,16,0,27.75,0.43
23000,24.25,0.43,15.25,0.43,28,0
23250,25.25,0.43,16,0,28.33,0.47
23500,26,0.82,15,0,27.67,0.47
23750,26.5,0.5,14.75,0.43,26.5,0.5
24000,25.75,0.43,12.75,0.43,26.75,0.43
24250,24,0,12.67,0.47,26.75,0.43
24500,12.75,6.76,16.75,1.64,25.5,1.12
24750,13.25,4.6,18.75,1.3,25.75,1.3
25000,16.75,2.68,19.5,0.5,25.75,0.83
25250,17,0.71,20.5,0.5,25.75,1.09
25500,21.25,3.27,19,1.22,26.25,1.3
25750,18.75,1.92,20.25,0.83,24.5,0.5
26000,17.25,3.03,20.75,0.43,24.5,0.87
26250,17,4,19.5,0.5,25,0.71
26500,20,4.12,18.75,0.83,25.5,0.87
26750,16,3.94,20.5,0.87,25,0.71
27000,21.75,1.3,19.5,0.5,26.25,0.83
27250,22,0.71,20.5,0.5,26.5,0.5
27500,21.75,0.83,19.5,0.5,26.5,0.5
27750,23.75,0.43,18,0,26.5,0.5
28000,24.5,0.5,18,0,26.67,0.47
28250,25.5,1.12,18,0,26,1
28500,26.75,0.43,18,0,26,1
28750,26,0.71,18,0,26.5,0.5
29000,25.33,0.47,17.5,0.5,26.33,0.47
29250,25.25,0.43,17,0,26.5,0.5
29500,26.25,0.43,17.75,0.43,26.5,0.5
29750,26.5,0.5,18,0,26.5,0.5
30000,26,0.71,18,0,26.5,0.5
30250,25.33,0.47,18,0,26.5,0.5
30500,24.75,0.43,18,0,26.5,0.5
30750,24.75,0.83,18,0,26.5,0.5
31000,25.25,0.43,18,0,26.5,0.5
31250,26,0.71,18,0,26.67,0.47
31500,25,0.71,18,0,26.25,0.83
31750,24.5,0.5,17.75,0.43,26.5,0.5
32000,24.33,0.47,18.5,0.5,26.33,0.47
32250,24.2,0.4,18,0,26.6,0.49
32500,24.33,0.47,18,0,26.33,0.47
32750,24,0,18,0,27,0
33000,24.33,0.47,18,0,26.75,0.43
33250,24,0,18,0,25.75,0.83
33500,24.25,0.43,18,0,25.75,0.83
33750,24,0,18.75,0.83,26.5,0.5
34000,24,0,18.5,0.5,26.5,0.5
34250,24,0,18.75,0.43,26.75,0.43
34500,24,0,19.25,0.43,26.5,0.87
34750,24,0,18,0.71,24,1.41
35000,24,0,18.75,1.09,23.75,0.43
35250,23.75,0.43,20,0,22.75,0.43
35500,24,0,19.5,0.5,22,0.71
35750,23.75,0.43,18.67,0.47,20.67,0.47
36000,20.75,1.92,15.5,0.5,19.75,1.79
36250,21.25,0.43,10,2.55,15.2,2.64
36500,21.5,0.87,15.75,0.83,23,1.73
36750,21.5,0.87,18,0.71,24.25,0.43
37000,22,1,18.67,0.47,24,0
37250,24,0,19.5,0.5,24.25,0.43
37500,25.33,0.94,20,0,25.33,0.47
37750,26.5,0.5,21,0,26,1
38000,26.75,0.43,20.5,0.5,26.5,0.5
38250,26.67,0.47,21,0,26.5,0.5
38500,26.25,0.43,20,0.71,27,0
38750,26.75,0.43,18.5,0.5,27,0
39000,27,0,18.75,0.43,27,0
39250,26.5,0.5,19,0,27,0
39500,26.5,0.5,19.75,0.43,27,0
39750,27,0,20.67,0.47,27,0
40000,27,0,21,0,27.75,0.43
40250,27,0,20.25,0.43,27.67,0.47
40500,26.67,0.47,20,0,27,0
40750,25.75,0.43,19,0.71,27,0
41000,27,0,18,0,27,0
41250,27,0,18,0,27,0
41500,27,0,18.5,0.5,27,0
41750,27.67,0.47,18,0,27,0
42000,28.25,0.43,18.25,0.43,27,0
42250,28.75,0.43,18.75,0.43,27,0
42500,28.75,0.43,18,0,27,0
42750,29,0,18,0,27.25,0.43
43000,29,0,18.75,0.43,27.25,0.43
43250,29,0,18.75,0.43,27,0
43500,29,0,18,0,27,0
43750,29,0,18.5,0.5,27,0
44000,30,0,17.25,0.43,28,0
44250,30,0,17,0,28,0
44500,30,0,16,0.71,28.5,0.5
44750,30,0,16.5,0.5,28.75,0.43
45000,29,0,16.25,0.43,28.75,0.43
45250,29,0,15.25,0.43,29.5,0.5
45500,28,0.71,15,0,29.5,0.5
45750,27,0,15,0,29,0
46000,27.75,0.43,15,0,29,0
46250,28.33,0.47,15.5,0.87,28.67,0.47
46500,30.25,0.43,17.5,2.18,28,0.71
46750,31.25,0.83,24,0.71,24.75,1.48
47000,30,0,25.33,0.47,21,0
47250,30.75,0.43,24.25,0.43,23.5,1.5
47500,30.5,0.87,23.25,1.3,24.75,0.83
47750,30.75,0.83,20,1.58,28.25,0.83
48000,29,1.63,16.33,1.25,29,0.71
48250,29.75,1.09,15.75,1.48,28.75,0.43
48500,32,0.71,18.5,0.5,28,0
48750,31.5,0.5,18.25,1.09,28.5,0.5
49000,29.75,2.28,19,0.82,28.67,0.47
49250,44.5,6.87,24.5,0.5,23.75,0.43
49500,51,0,24.5,0.5,21,0
49750,51,0,24,0,18.67,0.94
50000,48.5,2.6,24.5,0.5,23,1.73
50250,35.33,5.19,21.33,0.47,24.5,0.87
50500,26.25,2.68,14,6,29.25,0.83
50750,28,1,2.75,1.79,28.5,0.5
51000,27.25,1.64,5.75,3.42,28.25,0.43
51250,29.33,0.94,7.5,1.5,28.5,0.5
51500,30,0,12,1.63,29,0
51750,30.25,0.43,13.75,1.3,28.75,0.43
52000,30,0.82,13,1,29,0
52250,27.75,0.83,16.75,1.09,28.5,0.5
52500,27.25,0.43,16.5,0.5,29,0
52750,27.33,0.47,16.5,0.5,29.25,0.43
53000,27,0,15,0,29.75,0.43
53250,27,0,15,0,30,0
53500,27,0,14.5,0.87,29.75,0.43
53750,26.25,0.43,16,0.82,29.67,0.47
54000,26.75,0.43,14.25,0.83,30,0
54250,27,0,15,0.71,28.75,0.43
54500,27.67,0.47,16,1,29,0
54750,28,0,17.67,0.47,30,0
55000,27.75,0.43,18,0,29.5,0.87
55250,27,0,17.5,0.87,28,0
55500,24.75,0.83,18.25,0.43,28,0
55750,24.75,0.43,18.25,0.43,28.25,0.43
56000,25,0,18.25,0.43,27.75,0.43
56250,24.25,0.43,19.5,0.87,28.5,0.5
56500,24.75,0.43,18,0,27.75,0.43
56750,24.75,0.43,18.5,0.5,28,0
57000,25.25,0.43,18.75,0.43,27.75,0.43
57250,25.75,0.43,18.25,0.43,27.5,0.5
57500,25.5,0.5,18.5,0.5,27,0
57750,25.25,0.43,19.5,0.5,27,0
58000,25.25,0.43,19,0,27,0
58250,25.25,0.43,18.25,0.43,27,0
58500,25,0,18,0,27,0
58750,24.75,0.43,18,0,27,0
59000,24.67,0.47,18,0,27,0
59250,25,0,18.67,0.47,27,0
59500,24.75,0.43,19,0,27,0
59750,24.25,0.43,19.75,0.43,26.75,0.43
60000,24.25,0.43,19.25,0.43,26.5,0.5
60250,24,0,18.5,0.5,26.25,0.83
60500,24.25,0.43,18.75,0.83,26.25,0.83
60750,24,0,19.5,1.12,26.75,0.43
61000,23,1.22,18,2.16,23,3.74
61250,18.5,2.6,18.75,2.49,25,2.45
61500,25.5,1.8,12,1.63,24.33,0.47
61750,26.25,1.92,21,0,26.75,1.64
62000,24.25,0.43,16.25,4.44,26.25,1.92
62250,24.25,0.43,20.25,4.82,23.5,2.87
62500,26,0.82,17.25,3.77,25,2.83
62750,27.33,0.47,16,1.58,20.67,2.87
63000,24.5,1.5,14.75,0.83,20.75,2.17
63250,21.67,0.47,20.67,2.05,19,4.74
63500,23.5,0.5,14.33,5.19,20.75,2.28
63750,25.5,1.5,21,1.58,20.75,2.38
64000,24.25,0.43,20.5,2.06,18.5,1.8
64250,24.75,0.43,20.5,2.6,21.75,2.49
64500,24.5,0.5,20.25,1.3,22,1.22
64750,24,0,17.67,2.36,21,0
65000,25.5,0.5,16.8,0.75,23.6,0.49
65250,25,0,19,1,21.25,0.43
65500,24.25,0.43,18.75,0.43,21.25,0.43
65750,23.75,0.43,17.25,1.92,21.25,0.43
66000,23.5,0.87,18.75,0.83,21.5,0.5
66250,22,0.71,18,0,21,0
66500,23.5,0.5,17.67,0.47,20.67,0.47
66750,24.25,0.43,18,2.45,21.33,1.7
67000,24,0,16.25,1.3,21,1.63
67250,24.5,0.5,17.5,2.6,20,1.22
67500,24.67,0.47,21,0,19.25,0.83
